Město/Obec,PSČ,,Počet obyv.,Číslo vyhlášky,Název OZV,Účinnost vyhlášky,e) (VHP),g) (bingo),i) (živá hra),l) (CLS/IVT),m) (karty),n) (LLS),j),§50/3 (ostatní),Čas,Poznámka,
Albrechtice,73543,,4002,4/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce Albrechtice,3/1/2013,x,x,x,x,x,x,x,x,,,
Albrechtice nad Orlicí,51722,,1049,3/2008,"o stanovení okruhu vzdáleností, v němž nesmí být povoleno provozování výherních hracích přístrojů",1/1/2009,x,,,,,,,,,různé vzdálenosti od různých objektů;,
Aš,35201,,13420,2/2016,"o stanovení míst, na kterých je provozování sázkových her podle § 2 písm. e), e), g), i), l), m) a n) a loterie a jiné podobné hry podle § 2 písm. j) a § 50 odst. 3 zákona č. 202/1990 Sb., o loteriích a jiných podobných hrách, ve znění pozdějších předpisů, zakázáno.",17/5/2016,x,x,x,x,x,x,x,x,,seznam zakázaných adres,
Bakov nad Jizerou,29401,,5004,1/2012,"o zákazu provozování některých sázkových her, loterií a jiných podobných her",24/2/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Bánov,68754,,2130,1/2013,o regulaci provozování loterií a jiných podobných her,4/4/2013,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Baška,73901,,,3/2015,o zákazu provozování loterií a jiných podobných her,1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Batňovice,54237,,,2/2015,o regulaci provozování loterií a jiných podobných her,22/4/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Bavorov,38773,,1464,1/2011,"o stanovení míst a času, ve kterém je provozování některých sázkových her povoleno",30/12/2011,x,x,x,x,,x,x,x,"pá, so - od 6.00 do 24.00, jinak od 6.00 do 22.00",seznam povolených adres;,
Bečov nad Teplou,36464,,,2/2016,o regulaci provozování loterií a jiných podobných her ,1/1/2017,x,,,,,,,,,zákaz na celém území obce,
Bechlín,41186,,1189,1/2012,o zákazu provozování výherních hracích přístrojů,12/12/2012,x,,,,,,,,,zákaz na celém území;,
Bechyně,39165,,5425,4/2012,k zabezpečení místních záležitostí veřejného pořádku v oblasti omezení hazardu,7/3/2012,x,,,x,,,,x,,seznam povolených adres;,
Bělá,74723,,702,2/2008,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",23/8/2008,x,,,,,,,,,zákaz na všech veřejně přístupných místech;,
Benátky nad Jizerou,29471,,7042,1/2014,"kterou se mění obecně závazná vyhláška města Benátky nad Jizerou č. 3/2012, o určení míst pro provozování výherních hracích přístrojů na území města Benátky nad Jizerou",30/6/2014,,,,,,,,,,změna textu OZV č. 3/2012 v bodě 5 - místo adresy Mělnická č.p. 21 je uvedena adresa Mělnická č.p. 53,
Benátky nad Jizerou,29471,,7042,3/2012,o určení míst pro provozování výherních hracích přístrojů na území města Benátky nad Jizerou,19/12/2012,x,,,,,,,,,seznam povolených adres (ruší OZV 7/2011);,
Benátky nad Jizerou,29471,,7042,2/2012,o určení míst pro provozování jiných technických herních zařízení povolených Ministerstvem financí na území města Benátky nad Jizerou,19/12/2012,,,,,,,,x,,,
Benešov,25601,,,2/2016,"o regulaci míst k provozování sázkových her, loterií a jiných podobných her ",7/4/2016,x,x,x,x,x,x,x,x,,seznam povolených adres,
